,Origin_ratio_diff,Origin_ratio_diff,Origin_ratio_diff,Origin_ratio_diff,Origin_ratio_diff,Origin_ratio_diff,Destination_ratio_diff,Destination_ratio_diff,Destination_ratio_diff,Destination_ratio_diff,Destination_ratio_diff,Destination_ratio_diff,clusters
time_interval,Evening,Late Night,Midday,Rush Hour AM,Rush Hour PM,Weekend,Evening,Late Night,Midday,Rush Hour AM,Rush Hour PM,Weekend,
Station Complex Name,,,,,,,,,,,,,
"86 St (C,B)",0.01,-0.08,-0.01,-0.07,0.14,0.02,-0.03,-0.01,0.04,0.08,-0.09,0.02,destination
86 St (N),-0.02,0.01,0.03,0.03,-0.05,0.02,-0.01,-0.01,-0.01,0.02,0.02,0.01,residential
86 St (Q),0.02,-0.07,-0.01,0.0,0.04,0.04,0.0,0.0,-0.01,0.0,0.0,0.03,residential
86 St (R),-0.01,0.02,0.01,0.03,-0.04,-0.01,-0.01,0.0,-0.01,-0.01,0.06,-0.01,residential
88 St (A),-0.03,0.12,-0.02,0.11,-0.13,-0.04,0.02,-0.01,-0.04,-0.06,0.14,-0.03,residential
9 Av (D),-0.02,0.02,0.01,0.04,-0.06,0.02,0.03,-0.01,-0.03,-0.02,0.03,0.02,residential
90 St-Elmhurst Av (7),0.0,0.05,0.01,0.0,-0.04,0.01,0.04,-0.01,0.0,-0.04,0.02,0.02,residential
"96 St (1,2,3)",0.02,-0.06,0.01,-0.05,0.05,0.05,0.0,0.0,0.01,0.02,-0.05,0.03,destination
96 St (6),0.01,-0.07,0.01,-0.07,0.17,-0.04,-0.03,0.04,0.04,0.14,-0.12,-0.04,destination
"96 St (C,B)",0.01,-0.08,0.0,-0.07,0.16,0.0,-0.03,0.01,0.04,0.08,-0.08,0.0,destination
96 St (Q),0.01,-0.05,0.01,0.0,0.04,0.02,0.01,0.02,-0.01,0.03,-0.03,0.01,residential
Alabama Av (J),0.02,0.0,0.0,-0.06,0.09,-0.03,-0.03,0.08,0.03,0.06,-0.09,-0.03,destination
"Allerton Av (2,5)",-0.01,0.08,-0.02,0.04,-0.05,-0.03,0.0,0.01,-0.01,-0.01,0.05,-0.01,residential
